school,schoolSES,sector
1224,-0.434382979,Public
1288,0.1216,Public
1296,-0.4255,Public
1308,0.528,Catholic
1317,0.345333333,Catholic
1358,-0.019666667,Public
1374,-0.012642857,Public
1433,0.712,Catholic
1436,0.562909091,Catholic
1461,0.677454545,Public
1462,-0.669403509,Catholic
1477,0.159580645,Catholic
1499,-0.465924528,Public
1637,-0.705407407,Public
1906,0.511622642,Catholic
1909,0.248071429,Public
1942,0.682,Public
1946,0.004051282,Public
2030,0.328382979,Public
2208,0.423166667,Catholic
2277,-0.761934426,Catholic
2305,-0.628,Catholic
2336,0.441574468,Public
2458,0.227789474,Catholic
2467,-0.329730769,Public
2526,0.326912281,Catholic
2626,-0.064842105,Public
2629,-0.137649123,Catholic
2639,-0.964428571,Public
2651,0.063052632,Public
2655,-0.701653846,Public
2658,0.438444444,Catholic
2755,0.556042553,Catholic
2768,-0.0536,Public
2771,-0.339454545,Public
2818,0.108666667,Public
2917,-0.798232558,Public
2990,0.654708333,Catholic
2995,-0.301695652,Public
3013,-0.044226415,Public
3020,0.230135593,Catholic
3039,0.347714286,Catholic
3088,-0.472615385,Public
3152,0.031038462,Public
3332,0.611473684,Public
3351,0.326102564,Public
3377,-0.585333333,Public
3427,0.153020408,Catholic
3498,0.65954717,Catholic
3499,0.449894737,Catholic
3533,-0.134458333,Catholic
3610,0.120125,Catholic
3657,-0.649176471,Public
3688,0.405023256,Catholic
3705,0.234666667,Catholic
3716,-0.420682927,Public
3838,0.145333333,Catholic
3881,0.127609756,Public
3967,-0.225115385,Public
3992,0.365396226,Catholic
3999,-0.091043478,Public
4042,0.402,Catholic
4173,0.032,Catholic
4223,-0.094,Catholic
4253,-0.373689655,Catholic
4292,-0.486153846,Catholic
4325,-0.049132075,Public
4350,0.152606061,Public
4383,0.0732,Public
4410,0.096390244,Public
4420,-0.22425,Public
4458,-1.049458333,Public
4511,-0.107137931,Catholic
4523,-0.053744681,Catholic
4530,-0.596888889,Catholic
4642,0.115442623,Public
4868,0.361117647,Catholic
4931,0.364758621,Catholic
5192,-0.063714286,Catholic
5404,0.824982456,Catholic
5619,0.420333333,Catholic
5640,-0.176596491,Public
5650,0.022444444,Catholic
5667,0.41904918,Catholic
5720,0.032566038,Catholic
5761,-0.323,Catholic
5762,-1.193945946,Public
5783,0.173034483,Public
5815,-0.68,Public
5819,0.1816,Public
5838,0.156516129,Public
5937,0.650965517,Public
6074,-0.27675,Catholic
6089,0.085939394,Public
6144,-0.437534884,Public
6170,-0.301809524,Public
6291,-0.521714286,Public
6366,0.309758621,Catholic
6397,-0.2165,Public
6415,-0.187259259,Public
6443,-0.353,Public
6464,-0.676275862,Public
6469,0.752526316,Catholic
6484,-0.185142857,Public
6578,-0.516571429,Catholic
6600,-0.053535714,Public
6808,-0.096181818,Public
6816,0.528909091,Catholic
6897,0.34955102,Public
6990,-0.489698113,Public
7011,-0.031333333,Catholic
7101,0.007,Public
7172,-0.289818182,Catholic
7232,-0.090115385,Public
7276,0.078226415,Public
7332,0.297,Catholic
7341,-0.164078431,Public
7342,-0.447827586,Catholic
7345,0.03325,Public
7364,-0.089363636,Catholic
7635,0.242980392,Catholic
7688,0.185888889,Catholic
7697,0.25825,Public
7734,-0.469363636,Public
7890,-0.522705882,Public
7919,0.457675676,Public
8009,0.515617021,Catholic
8150,0.305863636,Catholic
8165,0.308938776,Catholic
8175,-0.171636364,Public
8188,0.139,Public
8193,-0.176604651,Catholic
8202,0.085714286,Public
8357,-0.107259259,Public
8367,0.025571429,Public
8477,-0.196108108,Public
8531,0.408097561,Public
8627,0.104830189,Public
8628,-0.139803279,Catholic
8707,0.155125,Public
8775,-0.339666667,Public
8800,-0.70925,Catholic
8854,-0.75675,Public
8857,0.51715625,Catholic
8874,-0.340777778,Public
8946,-0.351448276,Public
8983,-0.293882353,Public
9021,0.626642857,Catholic
9104,0.743454545,Catholic
9158,-0.402150943,Public
9198,0.492,Catholic
9225,0.253388889,Public
9292,-0.594315789,Public
9340,-0.397310345,Public
9347,0.211649123,Catholic
9359,0.354075472,Catholic
9397,0.13412766,Public
9508,-0.138,Catholic
9550,0.053034483,Public
9586,0.621152542,Catholic
