team,established,division,X2002,X2003,X2006,X2007,X2008,X2010,X2011,X2013,X2014,location,stadium,yearOpened,lat,lon,capacity
Anaheim Ducks,1993,Pacific,212.28,228.51,210.77,260.1,274.5,284.76,238.76,284.96,288.88,"Anaheim, California",Honda Center,1993,33.808151,-117.876544,17174
Arizona Coyotes,1996,Pacific,214.28,214.28,181.62,231.75,221.8,228.61,228.61,281.32,310.71,"Glendale, Arizona",Jobing.com Arena,2003,33.531929,-112.261222,17125
Atlanta Thrashers,1999,Central,253.51,236.97,266.64,234.44,262.48,262.88,,,,"Atlanta, Georgia",Philips Arena,1999,33.757525,-84.39634,17624
Boston Bruins,1924,Atlantic,293.49,304.39,327.77,327.77,352.6,336.27,352.26,444.13,509.8,"Boston, Massachusetts",TD Garden,1995,42.366443,-71.062147,17565
Buffalo Sabres,1970,Atlantic,222.84,208.83,187.29,197.25,222.72,228.72,231,293.76,290.9,"Buffalo, New York",First Niagara Center,1996,42.8838,-78.8742,19070
Calgary Flames,1980,Pacific,178.87,204.98,282.6,344.56,312.44,366.29,374.51,366.85,352.12,"Calgary, Alberta",Scotiabank Saddledome,1983,51.037434,-114.051934,19289
Carolina Hurricanes,1997,Metropolitan,193.06,193.06,217.62,205.57,219.52,251.83,251.83,303.63,341.17,"Raleigh, North Carolina",PNC Arena,1999,35.803444,-78.721877,18680
Chicago Blackhawks,1926,Central,276.28,286,225.52,262.48,312.38,350.58,367.38,437.8,463.2,"Chicago, Illinois",United Center,1994,41.880691,-87.674176,19717
Colorado Avalanche,1995,Central,236.13,242.24,235.91,240.19,242.96,242.96,242.96,266.99,295.64,"Denver, Colorado",Pepsi Center,1999,39.748568,-105.009966,18007
Columbus Blue Jackets,2000,Metropolitan,255.58,247.07,243.31,250.12,278.66,269.16,278.31,281.24,288.62,"Columbus, Ohio",Nationwide Arena,2000,39.967954,-83.010707,18144
Dallas Stars,1993,Central,239.43,234.33,232.41,234.39,244.18,222.68,223.78,263.11,263.11,"Dallas, Texas",American Airlines Center,2001,32.790689,-96.810392,18532
Detroit Red Wings,1926,Atlantic,303.88,318.44,261.51,251.03,279.4,299.92,306.12,365.86,307.54,"Detroit, Michigan",Joe Louis Arena,1979,42.32519,-83.051362,20066
Edmonton Oilers,1972,Pacific,176.52,217.54,283.65,331.95,294.61,346.46,369.48,389.64,393.75,"Edmonton, Alberta",Rexall Place,1974,53.522419,-113.524405,16839
Florida Panthers,1993,Atlantic,202.82,217.05,271.12,302.58,309.44,304.4,316.58,285.42,255.55,"Sunrise, Florida",BB&T Center,1998,26.158691,-80.325321,19250
Los Angeles Kings,1967,Pacific,280,274,271.42,275.42,281.31,297.22,304.66,382,384.99,"Los Angeles, California",Staples Center,1999,34.042435,-118.266586,18118
Minnesota Wild,2000,Central,248.34,262.89,293.98,322.46,338.12,346.01,346.01,376.55,383.25,"Saint Paul, Minnesota",Xcel Energy Center,2000,44.945089,-93.101092,17954
