achieve,fam_back,ability,motivate,courses
26.53,0.84,63.77,50.52,1.55
59.57,0.41,116.36,49.72,7.05
44.95,-1.19,88.22,47.36,4.15
43.76,-0.7,94.35,57.59,1.64
42.57,-0.35,109.76,39.79,0.76
43.92,-0.09,97.82,47.25,4.9
50.18,0.27,101.71,59.62,2.95
57.3,1.1,112.36,60.88,2.45
42.36,-0.14,103.49,37.93,1.09
74.37,1.06,147.87,46.13,4.57
58.61,-0.05,99.67,54.13,6.05
62.53,1.23,121.64,54.33,6.62
42.51,-0.7,103.85,54.65,1.73
56.48,1.35,99.49,47.35,5.63
28.75,-1.26,85.41,52.09,0.81
42.66,-1.66,106.28,62.03,4.85
62.14,1.6,100.26,63.82,4.95
36.04,-1.48,77.48,35.45,2.02
47.16,-0.21,95.17,51.41,5.09
62.14,2.39,109.58,45.65,4.96
77.77,-0.17,128.62,42.37,5.93
55.48,-0.63,111.78,65.61,5.82
31.38,-1.89,81.26,55,-0.16
62.51,1.18,90.62,54.2,4.78
48.76,-0.47,96.18,51.82,6.26
55.98,-0.96,107.81,44.63,2.47
40.31,-1.68,88.89,47.49,0
63.02,2.14,117.53,54.39,7.41
24.45,-0.27,62.63,41.77,-1.07
54.42,-0.13,111.18,47.64,6.03
45.87,-0.13,90.37,41.25,1.28
40.96,0.55,83.46,48.9,2.04
36.91,-0.08,78.77,57.79,3.12
46.27,-0.37,86.78,59.04,4.58
48.9,0.14,103.86,51.78,4.17
57.33,-0.72,113.44,48.11,2.21
54.13,-0.93,96.87,60.32,6.81
46.7,-1.53,90.87,39.52,2.61
44.83,1.28,93.98,60.96,5.82
57.22,-0.12,105.78,65.4,2.69
41.1,-1.04,90.14,34.79,2.66
34.09,0.33,94.07,30.54,1.72
45.94,0.25,87.96,65.71,5.4
59.16,-0.82,111.58,63.68,3.56
55.9,-0.52,104.6,53.25,5.1
46.78,0.45,101.03,46.54,4.09
44.35,0.92,90.18,70.9,7.08
50.4,-0.82,100.24,34.04,3.67
63.86,-0.61,117.38,47.55,5.57
45.11,-1.16,94.57,56.34,2.8
55.38,0.34,92.87,56.11,2.66
56.64,1.17,115.58,50.08,5.66
63.95,0.91,105.2,43.75,5.41
49.06,0.05,101.03,60.07,4
62.75,0.46,103.19,44.62,6.25
61.18,2.51,104.89,80.07,7.22
48.9,-0.38,98.65,54.64,5.78
37.41,0.43,82.42,52.49,1.46
56.96,-1.8,121.19,54.98,3.99
49.26,1.28,110.55,50.17,4.13
56.16,0.08,97.6,43.18,4.08
51.22,-0.33,96.64,42.52,2.93
69.66,0.35,117.75,58,6.16
28.75,0.15,60.91,42.24,1.64
