prof_id,beauty,tenured,native_english,age,female
1,0.2015666,0,1,36,1
2,-0.8260813,1,1,59,0
3,-0.6603327,1,1,51,0
4,-0.7663125,1,1,40,1
5,1.421445,0,1,31,1
6,0.5002196,1,1,62,0
7,-0.2143501,0,1,33,1
8,-0.346539,1,1,51,1
9,0.0613435,0,1,33,1
10,0.4525679,0,1,47,0
11,0.1432643,0,0,35,0
12,-0.1550228,0,1,37,0
13,0.1285433,1,1,42,0
14,-0.3470453,1,0,49,0
15,0.4619388,0,1,37,1
16,-0.1503849,1,1,45,0
17,-1.070734,0,1,56,1
18,-0.1426931,0,1,48,0
19,-0.1563634,1,1,46,1
20,-0.0589354,0,1,57,1
21,0.1511368,0,1,52,1
22,-0.937076,0,0,29,1
23,-0.8214405,1,1,62,0
24,-0.1994712,1,1,64,0
25,1.687167,0,1,34,1
26,-0.4101976,1,1,58,0
27,0.1233448,1,0,52,0
28,-0.8059942,1,1,73,0
29,-0.8210418,1,1,70,0
30,0.3198185,0,1,41,1
31,-0.0985568,0,1,63,0
32,-1.012306,1,1,47,0
33,0.4883314,1,1,39,0
34,-0.1719505,0,1,47,1
35,-1.167907,1,1,54,0
36,0.9525534,1,1,44,1
37,-1.140457,1,1,47,0
38,-0.8161172,1,1,62,0
39,-0.4837456,1,1,60,0
40,0.8450468,0,1,37,0
41,-0.3261277,0,1,42,0
42,0.1865589,1,1,35,0
43,1.881674,0,1,39,1
44,0.9626006,1,1,49,0
45,0.1534694,1,1,61,0
46,1.261046,0,1,33,0
47,0.0232144,1,1,58,1
48,-0.3460746,1,1,56,1
49,-0.744618,0,1,50,1
50,-0.7447439,1,1,52,0
51,0.6361284,0,1,33,1
52,0.5434852,1,1,57,0
53,0.9825948,1,1,38,1
54,-1.538843,0,1,34,1
55,1.067531,0,1,34,0
56,-0.4143639,0,1,32,0
57,0.7962944,1,1,42,1
58,-0.6466943,1,1,43,1
59,-0.4299034,0,0,35,0
60,-0.5924066,1,1,62,1
61,-0.9889295,1,1,42,0
62,0.5546651,1,1,39,0
63,0.6851749,1,1,52,1
64,0.9755885,1,1,52,1
65,-1.178738,0,1,52,1
66,-1.157511,1,1,64,0
67,1.327346,1,1,50,0
68,-1.511268,1,1,60,0
69,0.3034731,1,1,51,1
70,-0.5783117,0,1,43,0
71,-0.671936,0,1,50,0
72,0.6683338,1,1,52,0
73,0.7924695,1,1,51,0
74,-0.6548505,1,1,38,0
75,0.2510546,1,1,47,1
76,-0.2397178,1,1,43,1
77,-1.113346,0,1,38,1
78,-0.1135935,1,1,43,0
79,-0.8351366,1,1,57,0
80,0.9005994,1,1,51,1
81,-0.620769,0,1,45,0
82,-0.8552412,1,1,57,0
83,1.065906,0,1,47,1
84,1.144253,1,1,54,1
85,1.685985,0,1,58,0
86,1.684802,1,1,42,0
87,0.6362435,0,1,33,0
88,-1.269975,1,1,62,0
89,1.681103,0,1,35,1
90,-0.6756103,1,1,61,0
91,-0.0901815,1,1,52,1
92,-0.1450257,0,0,60,1
93,1.143045,0,1,32,0
94,0.3320507,0,0,42,1
