student,school,minority,sex,ses,math
1,1224,No,Female,-1.528,5.876
2,1224,No,Female,-0.588,19.708
3,1224,No,Male,-0.528,20.349
4,1224,No,Male,-0.668,8.781
5,1224,No,Male,-0.158,17.898
6,1224,No,Male,0.022,4.583
7,1224,No,Female,-0.618,-2.832
8,1224,No,Male,-0.998,0.523
9,1224,No,Female,-0.888,1.527
10,1224,No,Male,-0.458,21.521
11,1224,No,Female,-1.448,9.475
12,1224,No,Female,-0.658,16.057
13,1224,No,Male,-0.468,21.178
14,1224,No,Female,-0.988,20.178
15,1224,No,Male,0.332,20.349
16,1224,No,Female,-0.678,20.508
17,1224,No,Male,-0.298,19.338
18,1224,Yes,Male,-1.528,4.145
19,1224,No,Female,0.042,2.927
20,1224,No,Male,-0.078,16.405
21,1224,No,Female,0.062,13.653
22,1224,No,Female,-0.128,6.558
23,1224,No,Female,0.472,9.653
24,1224,No,Male,-0.468,3.154
25,1224,Yes,Female,-1.248,4.753
26,1224,No,Male,-0.628,21.721
27,1224,No,Female,0.832,5.166
28,1224,No,Female,-0.568,6.399
29,1224,No,Female,-0.258,6.821
30,1224,No,Female,-0.138,9.255
31,1224,No,Female,-0.478,3.745
32,1224,No,Female,-0.948,0.858
33,1224,No,Female,0.282,11.542
34,1224,No,Female,-0.118,13.255
35,1224,No,Male,-0.878,10.557
36,1224,No,Male,-0.938,0.868
37,1224,No,Male,-0.548,8.296
38,1224,Yes,Male,0.142,-1.688
39,1224,No,Female,0.972,2.059
40,1224,No,Male,0.372,6.714
41,1224,Yes,Male,-1.658,0.122
42,1224,No,Female,-1.068,2.381
43,1224,No,Female,-0.248,16.336
44,1224,No,Female,-1.398,6.134
45,1224,No,Female,0.752,23.584
46,1224,No,Female,0.012,14.053
47,1224,No,Female,-0.418,2.183
48,1288,No,Female,-0.788,7.857
49,1288,Yes,Male,-0.328,10.171
50,1288,No,Male,0.472,15.699
51,1288,No,Female,0.352,22.919
52,1288,Yes,Female,-1.468,10.664
53,1288,No,Female,0.202,13.543
54,1288,No,Male,-0.518,18.207
55,1288,Yes,Male,-0.158,5.552
56,1288,No,Male,0.042,7.416
57,1288,No,Male,0.682,18.792
58,1288,No,Male,1.262,1.575
59,1288,No,Female,0.152,3.534
60,1288,No,Female,-0.678,20.173
61,1288,No,Female,0.332,10.772
62,1288,No,Female,-0.728,2.619
63,1288,No,Female,1.262,21.3
64,1288,No,Male,0.612,19.527
65,1288,No,Female,0.692,18.402
66,1288,No,Female,1.082,20.69
67,1288,No,Male,0.222,21.437
68,1288,No,Male,0.032,7.519
69,1288,No,Male,-0.118,18.397
70,1288,No,Male,-0.488,4.617
71,1288,No,Male,0.322,23.578
72,1288,No,Male,0.592,12.81
73,1296,Yes,Female,-0.148,12.668
74,1296,Yes,Male,-0.858,0.781
75,1296,Yes,Female,-1.568,4.968
76,1296,Yes,Male,-0.898,23.172
77,1296,Yes,Female,-0.288,8.278
78,1296,Yes,Female,-1.088,6.244
79,1296,Yes,Female,-1.388,1.326
80,1296,Yes,Male,-1.148,2.359
81,1296,Yes,Female,-0.558,6.757
82,1296,Yes,Female,-0.698,6.251
83,1296,Yes,Female,0.142,3.404
84,1296,Yes,Male,0.522,22.201
85,1296,Yes,Male,0.732,-1.353
86,1296,Yes,Female,-0.248,-0.014
87,1296,Yes,Female,0.322,5.216
88,1296,Yes,Female,0.052,3.587
89,1296,Yes,Female,-0.028,11.162
90,1296,Yes,Female,-0.898,5.982
91,1296,Yes,Male,-0.818,2.814
92,1296,Yes,Female,-1.408,7.272
93,1296,Yes,Male,-1.258,8.895
94,1296,Yes,Male,-0.608,8.773
95,1296,Yes,Female,1.242,12.176
96,1296,No,Male,-0.688,3.052
97,1296,Yes,Female,-0.828,6.834
98,1296,Yes,Female,-0.698,3.255
99,1296,Yes,Female,-0.498,6.355
100,1296,Yes,Male,-0.658,11.589
101,1296,Yes,Female,-0.778,8.08
102,1296,Yes,Female,-0.098,19.822
103,1296,Yes,Female,-1.028,14.239
104,1296,Yes,Female,-0.418,1.17
105,1296,Yes,Female,-0.408,-1.127
106,1296,Yes,Male,0.352,10.84
107,1296,Yes,Female,-1.628,6.778
108,1296,Yes,Female,-0.698,9.449
109,1296,Yes,Male,-0.168,5.995
110,1296,Yes,Female,-0.718,4.765
111,1296,Yes,Female,-1.008,14.399
