subid,risk,female,eth,ell,sped,att,grade,read
1,HHM,1,Afr,0,0,0.94,5,172
1,HHM,1,Afr,0,0,0.94,6,185
1,HHM,1,Afr,0,0,0.94,7,179
1,HHM,1,Afr,0,0,0.94,8,194
2,HHM,1,Afr,0,0,0.91,5,200
2,HHM,1,Afr,0,0,0.91,6,210
2,HHM,1,Afr,0,0,0.91,7,209
2,HHM,1,Afr,0,0,0.91,8,
3,HHM,0,Afr,0,0,0.97,5,191
3,HHM,0,Afr,0,0,0.97,6,199
3,HHM,0,Afr,0,0,0.97,7,203
3,HHM,0,Afr,0,0,0.97,8,215
4,HHM,1,Afr,0,0,0.88,5,200
4,HHM,1,Afr,0,0,0.88,6,195
4,HHM,1,Afr,0,0,0.88,7,194
4,HHM,1,Afr,0,0,0.88,8,
5,HHM,1,Afr,0,0,0.85,5,207
5,HHM,1,Afr,0,0,0.85,6,213
5,HHM,1,Afr,0,0,0.85,7,212
5,HHM,1,Afr,0,0,0.85,8,213
6,HHM,0,Afr,0,0,0.9,5,191
6,HHM,0,Afr,0,0,0.9,6,189
6,HHM,0,Afr,0,0,0.9,7,206
6,HHM,0,Afr,0,0,0.9,8,195
7,POV,0,Afr,1,0,0.97,5,199
7,POV,0,Afr,1,0,0.97,6,208
7,POV,0,Afr,1,0,0.97,7,213
7,POV,0,Afr,1,0,0.97,8,218
8,POV,1,His,1,1,0.97,5,191
8,POV,1,His,1,1,0.97,6,194
8,POV,1,His,1,1,0.97,7,194
8,POV,1,His,1,1,0.97,8,
9,POV,1,Afr,0,1,0.97,5,149
9,POV,1,Afr,0,1,0.97,6,154
9,POV,1,Afr,0,1,0.97,7,174
9,POV,1,Afr,0,1,0.97,8,177
10,POV,1,Afr,0,0,0.96,5,200
10,POV,1,Afr,0,0,0.96,6,212
10,POV,1,Afr,0,0,0.96,7,213
10,POV,1,Afr,0,0,0.96,8,
11,POV,1,Whi,0,0,0.98,5,218
11,POV,1,Whi,0,0,0.98,6,231
11,POV,1,Whi,0,0,0.98,7,233
11,POV,1,Whi,0,0,0.98,8,239
12,POV,1,Whi,0,1,0.96,5,228
12,POV,1,Whi,0,1,0.96,6,232
12,POV,1,Whi,0,1,0.96,7,248
12,POV,1,Whi,0,1,0.96,8,246
13,ADV,1,Whi,0,0,0.99,5,228
13,ADV,1,Whi,0,0,0.99,6,236
13,ADV,1,Whi,0,0,0.99,7,228
13,ADV,1,Whi,0,0,0.99,8,239
14,ADV,0,Afr,1,0,0.99,5,199
14,ADV,0,Afr,1,0,0.99,6,210
14,ADV,0,Afr,1,0,0.99,7,225
14,ADV,0,Afr,1,0,0.99,8,235
15,ADV,1,Whi,0,0,1,5,218
15,ADV,1,Whi,0,0,1,6,223
15,ADV,1,Whi,0,0,1,7,236
15,ADV,1,Whi,0,0,1,8,
16,ADV,0,Whi,0,0,0.97,5,228
16,ADV,0,Whi,0,0,0.97,6,226
16,ADV,0,Whi,0,0,0.97,7,234
16,ADV,0,Whi,0,0,0.97,8,227
17,ADV,0,Whi,0,0,0.98,5,201
17,ADV,0,Whi,0,0,0.98,6,210
17,ADV,0,Whi,0,0,0.98,7,208
17,ADV,0,Whi,0,0,0.98,8,219
18,ADV,0,Whi,0,0,1,5,218
18,ADV,0,Whi,0,0,1,6,220
18,ADV,0,Whi,0,0,1,7,217
18,ADV,0,Whi,0,0,1,8,221
19,ADV,1,Whi,0,0,0.96,5,215
19,ADV,1,Whi,0,0,0.96,6,216
19,ADV,1,Whi,0,0,0.96,7,221
19,ADV,1,Whi,0,0,0.96,8,
20,ADV,1,Afr,0,0,0.95,5,204
20,ADV,1,Afr,0,0,0.95,6,215
20,ADV,1,Afr,0,0,0.95,7,219
20,ADV,1,Afr,0,0,0.95,8,214
21,ADV,0,Whi,0,0,0.98,5,237
21,ADV,0,Whi,0,0,0.98,6,241
21,ADV,0,Whi,0,0,0.98,7,243
21,ADV,0,Whi,0,0,0.98,8,
22,ADV,1,Afr,0,0,0.96,5,219
22,ADV,1,Afr,0,0,0.96,6,233
22,ADV,1,Afr,0,0,0.96,7,236
22,ADV,1,Afr,0,0,0.96,8,
