title,budget,age,mpaa
'Til There Was You,23,21,PG-13
10 Things I Hate About You,16,19,PG-13
100 Mile Rule,1.1,16,R
13 Going On 30,37,14,PG-13
"13th Warrior, The",85,19,R
15 Minutes,42,17,R
1776,4,46,PG
2 Fast 2 Furious,76,15,PG-13
20 Dates,0.06,20,R
200 Cigarettes,6,19,R
2001: A Space Travesty,26,18,R
2046,12,14,R
21 Grams,20,15,R
"24 Hour Woman, The",2.5,19,R
25th Hour,15,16,R
28 Days,43,18,PG-13
28 Days Later...,8,16,R
3000 Miles to Graceland,62,17,R
40 Days and 40 Nights,17,16,R
50 First Dates,75,14,PG-13
"51st State, The",28,17,R
54,13,20,R
"6th Day, The",82,18,PG-13
8 Mile,41,16,R
8MM,40,19,R
AVP: Alien Vs. Predator,45,14,PG-13
Abandon,25,16,PG-13
About Schmidt,30,16,R
About a Boy,27,16,PG-13
Absolon,8,15,R
Absolute Power,50,21,R
"Abyss, The",69.5,29,PG-13
Ace Ventura: Pet Detective,12,24,PG-13
Ace Ventura: When Nature Calls,30,23,PG-13
Adaptation.,19,16,R
"Adventures of Pluto Nash, The",100,16,PG-13
"Adventures of Robin Hood, The",1.9,80,PG
"Adventures of Rocky & Bullwinkle, The",76,18,PG
Affliction,6,21,R
After Image,1.2,17,R
After the Sunset,58,14,PG-13
Agent Cody Banks,26,15,PG
Agent Cody Banks 2: Destination London,26,14,PG
Air Bud,3,21,PG
Air Force One,85,21,R
Air Marshal,0.5,15,R
"Alamo, The",95,14,PG-13
"Alan Smithee Film: Burn Hollywood Burn, An",10,21,R
Albino Alligator,5,22,R
Alexander,150,14,R
Alferd Packer: The Musical,0.125,22,R
Alfie,60,14,R
Ali,107,17,R
Alien,11,39,R
Alien Abduction,0.6,13,R
Alien Escape,1,21,R
Alien: Resurrection,70,21,R
Aliens,18.5,32,R
All About the Benjamins,14,16,R
All the Pretty Horses,45,18,PG-13
All the Queen's Men,25,17,PG-13
All the Real Girls,1,15,R
Almost Famous,60,18,R
Alone in the Dark,20,13,R
Along Came Polly,42,14,PG-13
Along Came a Spider,28,17,R
Amadeus,18,34,R
America's Sweethearts,48,17,PG-13
American Beauty,15,19,R
American History X,10,20,R
American Outlaws,35,17,PG-13
American Pie,11,19,R
American Pie 2,30,17,R
"American President, The",62,23,PG-13
American Psycho,8,18,R
American Wedding,55,15,R
"American Werewolf in Paris, An",22,21,R
Amistad,40,21,R
"Amityville Horror, The",18,13,R
Amores perros,2,18,R
Anacondas: The Hunt for the Blood Orchid,25,14,PG-13
Analyze This,30,19,R
Anchorman: The Legend of Ron Burgundy,26,14,PG-13
Angel Eyes,38,17,R
Anger Management,75,15,PG-13
"Animal, The",22,17,R
"Animatrix: Final Flight of the Osiris, The",5,15,PG-13
Anna and the King,75,19,PG-13
Antitrust,30,17,PG-13
Antwone Fisher,12.5,16,PG-13
