"wine","vintage","region","varietal","rating","price"
"Penley Estate Phoenix Cabernet Sauvignon ",4,"Australia","Cabernet Sauvignon",92,19.99
"Wynns Coonawarra Estate Black Label Cabernet Sauvignon ",4,"Australia","Cabernet Sauvignon",96,34.99
"Two Hands Sexy Beast Cabernet Sauvignon ",5,"Australia","Cabernet Sauvignon",95,33.99
"Robert Oatley Signature Cabernet Sauvignon ",4,"Australia","Cabernet Sauvignon",92,18.99
"Mollydooker The Maitre D' Cabernet Sauvignon ",4,"Australia","Cabernet Sauvignon",90,28.99
"Jacob's Creek Reserve Cabernet Sauvignon ",2,"Australia","Cabernet Sauvignon",91,12.99
"Clarendon Hills Brookman Vineyard Cabernet Sauvignon ",0,"Australia","Cabernet Sauvignon",93,34.99
"Ringbolt Cabernet Sauvignon ",4,"Australia","Cabernet Sauvignon",90,16.99
"Ringbolt Cabernet Sauvignon ",4,"Australia","Cabernet Sauvignon",90,16.99
"Ringbolt Cabernet Sauvignon ",4,"Australia","Cabernet Sauvignon",90,16.99
"Ringbolt Cabernet Sauvignon ",4,"Australia","Cabernet Sauvignon",90,16.99
"Ringbolt Cabernet Sauvignon ",4,"Australia","Cabernet Sauvignon",90,16.99
"Ringbolt Cabernet Sauvignon ",4,"Australia","Cabernet Sauvignon",90,16.99
"Robert Oatley Finisterre Cabernet Sauvignon ",1,"Australia","Cabernet Sauvignon",96,29.99
"Rust en Vrede Cabernet Sauvignon ",4,"South Africa","Cabernet Sauvignon",91,29.99
"Rust en Vrede Cabernet Sauvignon ",4,"South Africa","Cabernet Sauvignon",91,29.99
"Rust en Vrede Cabernet Sauvignon ",4,"South Africa","Cabernet Sauvignon",91,29.99
"Rust en Vrede Cabernet Sauvignon ",4,"South Africa","Cabernet Sauvignon",91,29.99
"Rust en Vrede Cabernet Sauvignon ",4,"South Africa","Cabernet Sauvignon",91,29.99
"Rust en Vrede Cabernet Sauvignon ",4,"South Africa","Cabernet Sauvignon",91,29.99
